auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,size,model
0.6541111111111111,0.16834133999802475,0.4766666666666667,0.36811833846076064,0.31111111111111106,0.2154524381073924,0.34199134199134196,0.23199586159262792,50,KAN
0.6122539682539683,0.14509424396628962,0.5266666666666666,0.3504917180825311,0.31111111111111106,0.2154524381073924,0.36484848484848487,0.23095283129822167,50,XNet
0.5597301587301586,0.24638616356723383,0.3933333333333333,0.3900997023554078,0.3555555555555555,0.406125930722157,0.26564102564102565,0.2625400630020699,50,MLP
0.7071338383838384,0.0650554014641934,0.6312121212121211,0.07168188063255096,0.6621212121212122,0.22826047982141193,0.6168804219738006,0.10277531562142207,100,KAN
0.6628156565656566,0.06372210933931137,0.7076190476190476,0.08452079136127157,0.5696969696969696,0.11473209101601546,0.6182456140350877,0.052251257456803604,100,XNet
0.6698232323232324,0.0843751830404587,0.7098268398268399,0.07389086680722144,0.5060606060606061,0.18577759544105535,0.5800892605846165,0.15093183870669613,100,MLP
0.7722782839373707,0.09349309424921673,0.6342720437457279,0.17498441439128554,0.7543930820967225,0.15949315354141166,0.6592857142857144,0.09156735498454793,200,KAN
0.7690279829615468,0.09224361909901499,0.6734387351778656,0.13737245241770496,0.6982865378456282,0.08538567263935569,0.6738774885719281,0.06498068407983328,200,XNet
0.7597524751957984,0.10465278832950523,0.6790743034055728,0.17587065269756957,0.7559944485961354,0.16702761599694366,0.6771139971139971,0.08498176454912543,200,MLP
0.7360307740099407,0.06456691684225056,0.679142156862745,0.0523312955546222,0.7016666666666667,0.0651307445749616,0.6899476911976911,0.05713760153819689,300,KAN
0.7034244829244829,0.07264940201267323,0.6144368440514485,0.07822996503557664,0.5937121212121211,0.10054070702712067,0.6024405634997299,0.08581280449347801,300,XNet
0.7069148428731762,0.0937388819128011,0.6466086691086691,0.08495739327811412,0.6775,0.0998471053383344,0.6584946236559139,0.07784902888334198,300,MLP
0.7923207173656468,0.032584350037462594,0.7486243386243385,0.04646767975583423,0.6611197788091241,0.07640534767713748,0.6993696152607223,0.0540836767108254,400,KAN
0.7475517969407572,0.04261183097037567,0.6872081708063718,0.06554886306786924,0.6056706494190448,0.08261517173406496,0.6413398013398014,0.06405866005656184,400,XNet
0.7418604328206382,0.03664314366944695,0.7089138372773307,0.07444139236256146,0.6019782100655015,0.0497688848884186,0.6490575886814797,0.05025893228738522,400,MLP
0.7800382421170979,0.044960324705704026,0.7526829822085987,0.08775214663005212,0.6608903061885872,0.07186212758150849,0.6984915560358165,0.056880958386995285,446,KAN
0.7221037462068456,0.05053034506270251,0.6898294379723762,0.08940479923680318,0.6325801768167795,0.049177517646434514,0.6584623047247239,0.06463828420147212,446,XNet
0.7365694688164572,0.01884596964158236,0.7373567374487762,0.04378509553642108,0.6257239895258095,0.075124998861225,0.6719961665225742,0.0339176338126761,446,MLP
