activation,auc_mean,auc_std,f1_mean,f1_std,convergence_epoch
cauchy,0.7561890314731251,0.015801353478468724,0.676845677542272,0.032400789765823376,100.0
relu,0.7448452934952277,0.02653242580714201,0.6778294237041674,0.03470062199218244,100.0
tanh,0.745376085624508,0.02110852003814726,0.6773972346311075,0.03547133706603371,100.0
sigmoid,0.6221415580886338,0.1292985510167715,0.5162630393991293,0.26071503077088076,100.0
