experiment,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
All features,0.785451116279971,0.03151145122553046,0.7356361149110807,0.07141603867244606,0.6637271507484274,0.06699174941694236,0.6952568763475109,0.054174667843164964
-semantic,0.7563324326152158,0.029739201888324164,0.7317761965283602,0.0715146726174045,0.5785699287295032,0.07691575983140607,0.6410272480377235,0.05137237477636346
-bm25,0.7458827583161978,0.04246236820003344,0.6483860680087096,0.08200112690095473,0.7483124081528337,0.15065824958663257,0.6781184829346085,0.047190269415761224
-title_overlap,0.7522203497763492,0.035323781864275816,0.7307526061530638,0.04555347731787575,0.6261610207886804,0.07283649421557824,0.6734020580803457,0.057540959831630274
-category,0.7830237556577145,0.0366094287466878,0.7332643508253265,0.06539639259678863,0.6550150295363062,0.06741770336012078,0.6905578323524276,0.05919602430805525
-chunk_pos,0.77561827735079,0.027147213257829754,0.7127669020111254,0.040379118641955744,0.622650382490808,0.06827989137982014,0.6615178590660544,0.0367280289021513
-doc_length,0.7795036166386637,0.025289891656484115,0.7093680190656675,0.044029867283570515,0.6453905501245927,0.07887049213804158,0.6718979791445251,0.04082895922517656
Retrieval only,0.7252159914578686,0.029273836909555786,0.7149430672686486,0.021633420553174958,0.5627096874437301,0.04420253761543861,0.6287037026565688,0.028374932435621097
Metadata only,0.7062916630258731,0.04530481309020437,0.6491121623474565,0.06029533794712909,0.5407781814696708,0.0991236810669141,0.5821448078418026,0.06641030217880745
