auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,params,architecture
0.785451116279971,0.03151145122553046,0.7356361149110807,0.07141603867244606,0.6637271507484274,0.06699174941694236,0.6952568763475109,0.054174667843164964,560,KAN (Real)
0.751673349915015,0.027128112320252435,0.6880198884562769,0.0730372620910664,0.6383464605805031,0.06549980291305939,0.6577001426124234,0.04117080190207339,177,XNet (Real)
0.7479842418022885,0.03608042729768469,0.678835602519813,0.05346300507612173,0.6362005332218098,0.05765268362897645,0.6558083565899973,0.04911557795603715,257,MLP (Real)
0.7517408339494906,0.024642538449175525,0.6890643753409711,0.056813998917264935,0.6362891857040793,0.046995045641370664,0.6604840790189341,0.044286004222492965,65,SimpleKAN
0.7393148169338113,0.02256571689105723,0.6790699060425752,0.02871508431278797,0.6724521668670606,0.05201930451868601,0.6751069934037324,0.03658313792987825,769,SimpleMLP
0.7612143763963524,0.01745090500641442,0.6965633146411179,0.06576171600450806,0.6338553156638264,0.05971453573471985,0.6610786005793071,0.04792773507556626,7,Logistic Regression
