ndcg@1_mean,ndcg@1_std,ndcg@3_mean,ndcg@3_std,ndcg@5_mean,ndcg@5_std,ndcg@10_mean,ndcg@10_std,mrr_mean,mrr_std,map_mean,map_std,model,run,type,train_time,params
0.7880885197547033,0.352045332406975,0.8682599200226827,0.19976187687412925,0.8961945615322833,0.16030964169940987,0.9080346287070901,0.14592677642049556,0.7902298850574712,0.3559972566884731,0.7719639436234264,0.350136105766817,BM25,0,baseline,,
0.7315172152607011,0.3544726790693579,0.8416702082994608,0.2273040397978028,0.8936636562948742,0.1476354341517713,0.8977139276434829,0.14414628451559788,0.7729885057471264,0.3575248509194435,0.7571506763624989,0.3499443525718563,Semantic,0,baseline,,
0.798769981346131,0.35361017532264066,0.8751518302221085,0.1926010741676669,0.9006991139354924,0.16048724612822668,0.9120331101881995,0.14657287469466382,0.7902298850574712,0.3559972566884731,0.7755969485495346,0.3497593270398436,SimpleSum,0,baseline,,
0.8391923706384721,0.31216200486636864,0.8698001053832349,0.19750970570542015,0.909253822830189,0.1547651173958423,0.9216647181436749,0.13879410372556475,0.8229885057471263,0.35332069466398913,0.7816529341621706,0.3406919165874614,KAN,0,learned,0.12762808799743652,560.0
0.7124250755911552,0.35337152588567866,0.8467087159080873,0.19198751127824967,0.875453078231091,0.15476110391653314,0.8944859426459641,0.13075380846536577,0.778735632183908,0.3517034777194079,0.7573977148330597,0.3421284885400427,XNet,0,learned,0.038542985916137695,177.0
0.8310958175671229,0.32665153102598665,0.88447765852817,0.1830389403485533,0.9157680629244268,0.14621705574570748,0.9256896621654475,0.13135695639350048,0.8132183908045977,0.3471663979434243,0.78955425561029,0.33887690436023127,MLP,0,learned,0.03906893730163574,257.0
0.7409865349333207,0.3899514201275568,0.8616057346700773,0.1650558119025027,0.886966581892608,0.15020559161262617,0.8952928010748832,0.1501283315901631,0.8555555555555555,0.27464904654018385,0.8206534391534391,0.26966983636424524,BM25,1,baseline,,
0.7156823036835406,0.39455977467422015,0.8008185267300267,0.28008878209095434,0.8605898452468291,0.17370903757282227,0.8778321369448426,0.1632816638655304,0.7972222222222222,0.32108275538008757,0.7750026455026455,0.30107869985586944,Semantic,1,baseline,,
0.7513119478050341,0.39256326026728444,0.8731300986378128,0.16168204413019183,0.8950661263468783,0.14433694632840452,0.9042504819948749,0.14419273179433964,0.861111111111111,0.2655648533937138,0.8288544973544973,0.26311237838564716,SimpleSum,1,baseline,,
0.733490430266793,0.37215239678021134,0.8545973890819558,0.17167239336339293,0.8906663557084855,0.12836996526731506,0.9035138546337954,0.12178600774754336,0.85,0.26299556396765833,0.8243571428571428,0.26049465703412705,KAN,1,learned,0.1457679271697998,560.0
0.7231035862159158,0.35547519468301136,0.8455116071580139,0.18738360830511716,0.8900701030410386,0.1386961128658417,0.9045466768934147,0.12571005922536307,0.8555555555555555,0.27464904654018385,0.846579365079365,0.26918972878307323,XNet,1,learned,0.037129878997802734,177.0
0.7540478724351398,0.3654600215604717,0.8607147123673606,0.1733218723680931,0.8948915816744052,0.1353283162247219,0.9052715545164804,0.1330757836199878,0.8388888888888888,0.28048679025254086,0.8154285714285714,0.2672518275832793,MLP,1,learned,0.03905200958251953,257.0
0.7303572770995512,0.37439168749740603,0.8455719547089344,0.21565209906442792,0.88467054445787,0.1561722443662757,0.8940017767998393,0.15047094801959393,0.8020833333333333,0.3067173305069887,0.7971899801587301,0.2963022900806249,BM25,2,baseline,,
0.720718769669767,0.3772727767360303,0.8406117188355975,0.21824250118026814,0.8882585059258996,0.14615135531563112,0.8963932959090025,0.13665017342378674,0.8046875,0.30234139480133493,0.8095989873222016,0.28075704311323374,Semantic,2,baseline,,
0.7237552206227127,0.3714295953990004,0.848800440378336,0.21027927106143593,0.8872831195947906,0.1484351800381015,0.8974518289279811,0.14251360672531246,0.8072916666666666,0.3000560566840432,0.8074330357142857,0.2906294527270566,SimpleSum,2,baseline,,
0.8179057009989207,0.3229748405386122,0.8851044392322539,0.1655925221072131,0.9143508169475935,0.11712181117941432,0.922113528871981,0.11601740019563218,0.8619791666666666,0.2737101814965258,0.8268240189594356,0.25866792727105625,KAN,2,learned,0.13532209396362305,560.0
0.7280389106060129,0.3675177234510152,0.8665597987270448,0.14544271770435835,0.8900194996190984,0.13144167144689925,0.8991990863347396,0.1316141829451574,0.828125,0.28712044692370253,0.8099922052154195,0.27547198095117115,XNet,2,learned,0.0380709171295166,177.0
0.7518410220385034,0.3571067192801104,0.8579311531169305,0.20167599534119632,0.8914052908581253,0.13952758498592852,0.9027686784995642,0.1357815287217799,0.8229166666666666,0.29664647637287794,0.8136044436714079,0.2792006177350033,MLP,2,learned,0.03789997100830078,257.0
0.7473398137021676,0.3958050346784256,0.8369228869716102,0.25193328981822444,0.866287340710167,0.22319475740225053,0.8714670066749824,0.22339777868381278,0.8413978494623655,0.30989855455816345,0.8030133128520225,0.3036764828540726,BM25,3,baseline,,
0.7329529609883907,0.39798209330646417,0.853337906809345,0.2468111306218024,0.873151216895002,0.2152784779749156,0.8787922235855288,0.21010803435209358,0.836021505376344,0.31713595035418624,0.8379605967509193,0.30360260016578916,Semantic,3,baseline,,
0.7518529526527872,0.3978572821890905,0.8484045453492017,0.2521931046471844,0.8695919425355293,0.22461905430422335,0.8753272434893802,0.2246024108292542,0.8413978494623655,0.30989855455816345,0.8114924591537495,0.30645519266849286,SimpleSum,3,baseline,,
0.7666924299451872,0.37159581748911,0.8547020549392739,0.24113264133419685,0.8824604679805249,0.21417668545616436,0.8931151997853596,0.2067026542097752,0.8548387096774194,0.2894251362084897,0.8467767537122376,0.28071654778214516,KAN,3,learned,0.1340651512145996,560.0
0.7037017258658581,0.4148834689821644,0.8479103101212586,0.22015709259768318,0.8638367757493626,0.21252172696669222,0.8702356032641287,0.21429805097239857,0.8225806451612904,0.2991489837256679,0.8003186240283015,0.294132069310978,XNet,3,learned,0.0368192195892334,177.0
0.701908989089692,0.4083631126720839,0.8363291219464695,0.22529457482948687,0.8591327885946666,0.21166180425035558,0.8680060505753309,0.2090098060456509,0.8172043010752688,0.3063100974891208,0.795689847786622,0.2976443246396876,MLP,3,learned,0.03795194625854492,257.0
0.7903924630210372,0.3618134413916878,0.8686154352635767,0.2105205301068387,0.908704540305574,0.14321910000425214,0.9111187669757257,0.14363783279619197,0.8390804597701149,0.29760460867528493,0.8330459770114942,0.29165010428033017,BM25,4,baseline,,
0.853878591309229,0.28866223295124227,0.8998624748990484,0.18378494989910532,0.9230501223876847,0.1245299567059879,0.9329108780575324,0.11594443217123336,0.882183908045977,0.2693802677070797,0.8582218561405753,0.264534570403275,Semantic,4,baseline,,
0.7903924630210372,0.3618134413916878,0.8764958979560922,0.20971813588572125,0.9095583665822694,0.1434822460621,0.9113061899355109,0.14345611071658873,0.8390804597701149,0.29760460867528493,0.8344470567746429,0.2905016559656514,SimpleSum,4,baseline,,
0.7875919774799761,0.3395856024018064,0.883664760572663,0.1623735519218935,0.9083629380502537,0.12679029314855722,0.9164259194152016,0.12279427403884399,0.8678160919540229,0.27115232441575743,0.8151412790821658,0.25721275534394367,KAN,4,learned,0.12883782386779785,560.0
0.7744861167507413,0.3640595224516504,0.885695107825289,0.14362857535644508,0.8989401148300517,0.1369028239426184,0.9052646046728378,0.13251601071310337,0.8275862068965517,0.29191781837242053,0.7965972177794838,0.27356590556444876,XNet,4,learned,0.036728858947753906,177.0
0.8227182992420291,0.3363207599483557,0.8756054506089214,0.2048695049662779,0.9153732133057055,0.13636613976443765,0.9178889063863622,0.13435250895170112,0.8563218390804598,0.29188953039150506,0.8270081177716645,0.28010567210764875,MLP,4,learned,0.03711509704589844,257.0
