model,type,ndcg@1_mean,ndcg@1_std,ndcg@3_mean,ndcg@3_std,ndcg@5_mean,ndcg@5_std,ndcg@10_mean,ndcg@10_std,mrr_mean,mrr_std,map_mean,map_std,params
BM25,baseline,0.759432921702156,0.027890599013854506,0.8561951863273762,0.014259812311368943,0.8885647137797005,0.01563511368950251,0.895982996046504,0.01565062894162995,0.8256694166357681,0.02798519564297984,0.8051733305598224,0.023386861285270632,
Semantic,baseline,0.7509499681823256,0.05799473927770553,0.8472601671146958,0.03548315505183574,0.887742669350058,0.02362269436001597,0.8967284924280777,0.022299273865138008,0.818620728278334,0.04206362891684336,0.8075869524157682,0.04211904269155939,
SimpleSum,baseline,0.7632165130895404,0.030946018093273898,0.8643965625087102,0.014468310142420249,0.892439733798992,0.015139147285210987,0.9000737709071893,0.015049112496745655,0.8278221944135458,0.028521409572587305,0.811564799509342,0.023093799800943792,
KAN,learned,0.7889745818658698,0.041640523925840854,0.8695737498418763,0.014876733714713836,0.9010188803034094,0.01370291420398941,0.9113666441700026,0.012668106113358148,0.8515244948090471,0.01733729417717264,0.8189504257546305,0.023828255626711436,560.0
XNet,learned,0.7283510830059367,0.027464993775703068,0.8584771079479386,0.017495755812490642,0.8836639142941285,0.013922358579145004,0.8947463827622171,0.014381858946098239,0.8225166079594611,0.027683500923580785,0.8021770253871259,0.03190775520206587,177.0
MLP,learned,0.7723224000744974,0.054096106398419594,0.8630116193135704,0.01845560897328088,0.8953141874714658,0.023158568778853115,0.903924970428637,0.02214730467228991,0.8297100173031764,0.01779716998363108,0.8082570472537112,0.015324465494028572,257.0
